,id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_phone_verification,require_guest_profile_picture,requires_license,reviews_per_month
237,8941768,100%,100%,f,2.0,East Queen Anne,47.63279987984936,-122.34655790024463,Apartment,Entire home/apt,2,1.0,1.0,Real Bed,130.00,,,2,0.00,1,1125,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,f,f,f,0.59
238,6569950,,,f,1.0,East Queen Anne,47.630826689711036,-122.35622983326977,Apartment,Entire home/apt,2,1.0,1.0,Real Bed,175.00,,,1,0.00,2,3,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,t,flexible,f,f,f,0.2
239,7733192,100%,100%,t,4.0,East Queen Anne,47.63275639899965,-122.34698651876323,House,Entire home/apt,8,3.5,3.0,Real Bed,749.00,1000.00,199.00,4,45.00,1,365,12,100.0,10.0,10.0,10.0,10.0,10.0,9.0,f,moderate,f,f,f,2.67
240,9215782,100%,100%,f,1.0,East Queen Anne,47.628464839124966,-122.3465480894033,Condominium,Entire home/apt,4,2.0,2.0,Real Bed,115.00,,35.00,1,0.00,1,5,2,100.0,,10.0,,10.0,,,f,strict,f,f,f,1.71
241,5175631,100%,100%,t,1.0,East Queen Anne,47.642369172573645,-122.34408644762196,Apartment,Entire home/apt,4,1.5,2.0,Real Bed,165.00,200.00,55.00,2,20.00,2,30,26,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict,f,f,f,2.57
242,6315614,100%,,f,1.0,East Queen Anne,47.629387695545795,-122.34592466867242,Apartment,Entire home/apt,4,1.0,2.0,Real Bed,109.00,,,1,0.00,1,1125,0,,,,,,,,f,flexible,f,f,f,
243,9134193,100%,100%,f,1.0,East Queen Anne,47.636855033869885,-122.35687346223659,Apartment,Entire home/apt,2,1.0,1.0,Real Bed,80.00,,,1,0.00,1,1125,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,f,f,f,1.0
244,2481189,90%,100%,t,2.0,East Queen Anne,47.636302850564185,-122.34782710866664,House,Entire home/apt,6,2.0,4.0,Real Bed,285.00,300.00,150.00,1,0.00,2,365,53,96.0,10.0,10.0,10.0,10.0,9.0,10.0,f,strict,f,f,f,2.41
245,8535897,100%,100%,f,1.0,East Queen Anne,47.63321404453066,-122.35493979697122,House,Private room,2,1.0,1.0,Real Bed,80.00,,10.00,2,20.00,1,1125,13,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict,f,f,f,3.82
246,9476826,60%,100%,f,1.0,East Queen Anne,47.629431104640894,-122.3452937256388,Condominium,Private room,1,1.0,1.0,Real Bed,75.00,,,1,0.00,1,1125,0,,,,,,,,f,flexible,f,f,f,
247,3144311,100%,,f,1.0,East Queen Anne,47.63770584557101,-122.34398776349178,Apartment,Entire home/apt,2,1.0,1.0,Real Bed,68.00,100.00,100.00,2,10.00,20,44,4,95.0,10.0,9.0,10.0,10.0,10.0,9.0,f,moderate,f,f,f,0.63
248,9370007,100%,100%,f,5.0,East Queen Anne,47.629171751559994,-122.34747869430643,Apartment,Entire home/apt,2,1.0,1.0,Real Bed,85.00,150.00,60.00,2,15.00,2,1125,0,,,,,,,,t,strict,f,f,f,
249,6781308,94%,100%,t,2.0,East Queen Anne,47.64219185671586,-122.34643033714576,Apartment,Entire home/apt,4,1.0,2.0,Real Bed,125.00,300.00,55.00,1,0.00,2,1125,32,97.0,10.0,10.0,10.0,10.0,9.0,10.0,t,strict,f,f,f,4.68
